Time,dm1,dm2,dm3,dm4,dm5,Stage,dm1Missing1,dm1MissingAll,dm2MissingAll,dm3MissingAll,dm4MissingAll,dm5MissingAll,dm1Missing19,StageMissing7,dm1Missing7,dm1negative
06:15,10.9,10.3,5.6,5.1,8.2,1,,,,,,,,1,10.9,-10.9
06:55,10.1,9,3.1,9.3,7,1,10.1,,,,,,,1,10.1,10.1
08:25,3.6,7.1,9,5.9,4.3,1,3.6,,,,,,,,,3.6
09:40,5.7,9.9,7.6,10.3,5.6,1,5.7,,,,,,,1,5.7,5.7
10:10,8.3,4.8,7.8,6.2,5.7,1,8.3,,,,,,,1,8.3,8.3
10:55,9.1,8.4,9,7.1,7.1,1,9.1,,,,,,,1,,9.1
11:40,8,4.7,6.1,5.7,4.2,1,8,,,,,,,,8,8
13:05,6.6,8.2,6.1,5.6,7,2,6.6,,,,,,,,6.6,6.6
14:25,7.4,4.6,3.8,7.7,10.2,2,7.4,,,,,,,2,7.4,7.4
15:05,8.4,6.9,7.2,8.9,7.3,2,8.4,,,,,,,,8.4,8.4
16:10,7.4,6.9,5.7,6.5,4.7,2,7.4,,,,,,,2,7.4,7.4
16:55,11,5.8,10.9,6.4,6.2,2,11,,,,,,,2,,11
18:15,5.8,7.8,8.2,8.8,4.3,2,5.8,,,,,,,,5.8,5.8
19:25,10.3,6,6.9,7.8,7,2,10.3,,,,,,,2,,10.3
20:10,7.6,9,8.2,7.8,7.3,3,7.6,,,,,,,3,7.6,7.6
21:00,6.7,7.1,5.7,5.2,7.4,3,6.7,,,,,,,3,,6.7
22:25,7.6,6.9,5.6,12.4,5.6,3,7.6,,,,,,,,7.6,7.6
23:10,4.8,5.4,4.9,8.5,5.6,3,4.8,,,,,,,3,,4.8
00:15,8.3,7.4,5.5,7.6,5.6,3,8.3,,,,,,,,8.3,8.3
01:05,8,8.4,5.7,8.5,3.6,3,8,,,,,,8,3,,8
